id,meta_id,created_by,value
1307,1,1,1
1308,1,2,1
1310,2,1,1
1311,2,2,1
1313,5,1,1
1314,5,2,1
1316,6,1,1
1317,6,2,1
1319,7,1,1
1320,7,2,1
1322,8,1,1
1323,8,2,1
1325,9,1,1
1326,9,2,1
1328,10,1,1
1329,10,2,1
1331,11,1,1
1332,11,2,1
1334,13,1,1
1335,13,2,1
1337,14,1,1
1338,14,2,1
1340,15,1,1
1341,15,2,1
1343,19,1,1
1344,19,2,1
1346,20,1,1
1347,20,2,1
1349,21,1,1
1350,21,2,1
1352,22,1,1
1353,22,2,1
1355,23,1,1
1356,23,2,1
1358,24,1,1
1359,24,2,1
1361,25,1,1
1362,25,2,1
1364,27,1,1
1365,27,2,1
1367,28,1,1
1368,28,2,1
1370,29,1,1
1371,29,2,1
1373,30,1,1
1374,30,2,1
1376,31,1,1
1377,31,2,1
1379,34,1,1
1380,34,2,1
1382,35,1,1
1383,35,2,1
1385,36,1,1
1386,36,2,1
1388,37,1,1
1389,37,2,1
1391,38,1,1
1392,38,2,1
1394,39,1,1
1395,39,2,1
1397,41,1,1
1398,41,2,1
1400,42,1,1
1401,42,2,1
1403,45,1,1
1404,45,2,1
1406,47,1,1
1407,47,2,1
1409,48,1,1
1410,48,2,1
1412,49,1,1
1413,49,2,1
1415,50,1,1
1416,50,2,1
1418,51,1,1
1419,51,2,1
1421,52,1,1
1422,52,2,1
1424,53,1,1
1425,53,2,1
1427,54,1,1
1428,54,2,1
1430,55,1,1
1431,55,2,1
1433,56,1,1
1434,56,2,1
1436,57,1,1
1437,57,2,1
1439,58,1,1
1440,58,2,1
1442,60,1,1
1443,60,2,1
1445,62,1,1
1446,62,2,1
1448,63,1,1
1449,63,2,1
1451,65,1,1
1452,65,2,1
1454,66,1,1
1455,66,2,1
1457,67,1,1
1458,67,2,1
1460,68,1,1
1461,68,2,1
1463,69,1,1
1464,69,2,1
1466,71,1,1
1467,71,2,1
1469,72,1,1
1470,72,2,1
1472,73,1,1
1473,73,2,1
1475,74,1,1
1476,74,2,1
1478,75,1,1
1479,75,2,1
1481,76,1,1
1482,76,2,1
1484,77,1,1
1485,77,2,1
1487,78,1,1
1488,78,2,1
1490,79,1,1
1491,79,2,1
1493,80,1,1
1494,80,2,1
1496,81,1,1
1497,81,2,1
1499,82,1,1
1500,82,2,1
1502,83,1,1
1503,83,2,1
1505,84,1,1
1506,84,2,1
1508,85,1,1
1509,85,2,1
1511,86,1,1
1512,86,2,1
1514,87,1,1
1515,87,2,1
1517,88,1,1
1518,88,2,1
1520,89,1,1
1521,89,2,1
1523,90,1,1
1524,90,2,1
1526,91,1,1
1527,91,2,1
1529,92,1,1
1530,92,2,1
1532,93,1,1
1533,93,2,1
1535,94,1,1
1536,94,2,1
1538,95,1,1
1539,95,2,1
1541,96,1,1
1542,96,2,1
1544,97,1,1
1545,97,2,1
1547,98,1,1
1548,98,2,1
1550,99,1,1
1551,99,2,1
1553,100,1,1
1554,100,2,1
1556,101,1,1
1557,101,2,1
1559,102,1,1
1560,102,2,1
1562,103,1,1
1563,103,2,1
1565,104,1,1
1566,104,2,1
1568,105,1,1
1569,105,2,1
1571,106,1,1
1572,106,2,1
1574,107,1,1
1575,107,2,1
1577,108,1,1
1578,108,2,1
1580,109,1,1
1581,109,2,1
1583,110,1,1
1584,110,2,1
1586,111,1,1
1587,111,2,1
1589,112,1,1
1590,112,2,1
1592,114,1,1
1593,114,2,1
1595,116,1,1
1596,116,2,1
1598,118,1,1
1599,118,2,1
1601,119,1,1
1602,119,2,1
1604,121,1,1
1605,121,2,1
1607,122,1,1
1608,122,2,1
1610,123,1,1
1611,123,2,1
1613,124,1,1
1614,124,2,1
1616,125,1,1
1617,125,2,1
1619,126,1,1
1620,126,2,1
1622,127,1,1
1623,127,2,1
1625,128,1,1
1626,128,2,1
1628,129,1,1
1629,129,2,1
1631,130,1,1
1632,130,2,1
1634,131,1,1
1635,131,2,1
1637,132,1,1
1638,132,2,1
1640,133,1,1
1641,133,2,1
1643,134,1,1
1644,134,2,1
1646,135,1,1
1647,135,2,1
1649,136,1,1
1650,136,2,1
1652,138,1,1
1653,138,2,1
1655,139,1,1
1656,139,2,1
1658,140,1,1
1659,140,2,1
1661,141,1,1
1662,141,2,1
1664,142,1,1
1665,142,2,1
1667,143,1,1
1668,143,2,1
1670,144,1,1
1671,144,2,1
1673,145,1,1
1674,145,2,1
1676,146,1,1
1677,146,2,1
1679,147,1,1
1680,147,2,1
1682,148,1,1
1683,148,2,1
1685,149,1,1
1686,149,2,1
1688,150,1,1
1689,150,2,1
1691,151,1,1
1692,151,2,1
1694,152,1,1
1695,152,2,1
1697,153,1,1
1698,153,2,1
1700,154,1,1
1701,154,2,1
1703,155,1,1
1704,155,2,1
1706,156,1,1
1707,156,2,1
1709,157,1,1
1710,157,2,1
1712,158,1,1
1713,158,2,1
1715,159,1,1
1716,159,2,1
1718,160,1,1
1719,160,2,1
1721,162,1,1
1722,162,2,1
1724,163,1,1
1725,163,2,1
1727,164,1,1
1728,164,2,1
1730,165,1,1
1731,165,2,1
1733,166,1,1
1734,166,2,1
1736,167,1,1
1737,167,2,1
1739,168,1,1
1740,168,2,1
1742,169,1,1
1743,169,2,1
1745,170,1,1
1746,170,2,1
1748,171,1,1
1749,171,2,1
1751,172,1,1
1752,172,2,1
1754,173,1,1
1755,173,2,1
1757,174,1,1
1758,174,2,1
1760,175,1,1
1761,175,2,1
1763,176,1,1
1764,176,2,1
1766,177,1,1
1767,177,2,1
1769,178,1,1
1770,178,2,1
1772,179,1,1
1773,179,2,1
1775,180,1,1
1776,180,2,1
1778,181,1,1
1779,181,2,1
1781,182,1,1
1782,182,2,1
1784,183,1,1
1785,183,2,1
1787,184,1,1
1788,184,2,1
1790,185,1,1
1791,185,2,1
1793,186,1,1
1794,186,2,1
1796,187,1,1
1797,187,2,1
1799,188,1,1
1800,188,2,1
1802,189,1,1
1803,189,2,1
1805,190,1,1
1806,190,2,1
1808,191,1,1
1809,191,2,1
1811,192,1,1
1812,192,2,1
1814,193,1,1
1815,193,2,1
1817,194,1,1
1818,194,2,1
1820,195,1,1
1821,195,2,1
1823,196,1,1
1824,196,2,1
1826,197,1,1
1827,197,2,1
1829,372,1,1
1830,372,2,1
1832,373,1,1
1833,373,2,1
1835,374,1,1
1836,374,2,1
1838,375,1,1
1839,375,2,1
1841,376,1,1
1842,376,2,1
1844,377,1,1
1845,377,2,1
1847,378,1,1
1848,378,2,1
1850,379,1,1
1851,379,2,1
1853,380,1,1
1854,380,2,1
1856,381,1,1
1857,381,2,1
1859,382,1,1
1860,382,2,1
1862,383,1,1
1863,383,2,1
1865,384,1,1
1866,384,2,1
1868,385,1,1
1869,385,2,1
1871,386,1,1
1872,386,2,1
1874,387,1,1
1875,387,2,1
1877,388,1,1
1878,388,2,1
1880,389,1,1
1881,389,2,1
1883,390,1,1
1884,390,2,1
1886,391,1,1
1887,391,2,1
1889,392,1,1
1890,392,2,1
1892,393,1,1
1893,393,2,1
1895,394,1,1
1896,394,2,1
1898,395,1,1
1899,395,2,1
1901,396,1,1
1902,396,2,1
1904,397,1,1
1905,397,2,1
1907,398,1,1
1908,398,2,1
1910,399,1,1
1911,399,2,1
1913,400,1,1
1914,400,2,1
1916,401,1,1
1917,401,2,1
1919,402,1,1
1920,402,2,1
1922,403,1,1
1923,403,2,1
1925,404,1,1
1926,404,2,1
1928,405,1,1
1929,405,2,1
1931,406,1,1
1932,406,2,1
1934,407,1,1
1935,407,2,1
1937,408,1,1
1938,408,2,1
1940,409,1,1
1941,409,2,1
1943,410,1,1
1944,410,2,1
1946,411,1,1
1947,411,2,1
1949,412,1,1
1950,412,2,1
1952,413,1,1
1953,413,2,1
1955,414,1,1
1956,414,2,1
1958,415,1,1
1959,415,2,1
1961,416,1,1
1962,416,2,1
1964,417,1,1
1965,417,2,1
1967,418,1,1
1968,418,2,1
1970,419,1,1
1971,419,2,1
1973,420,1,1
1974,420,2,1
1976,421,1,1
1977,421,2,1
1979,422,1,1
1980,422,2,1
1982,423,1,1
1983,423,2,1
1985,425,1,1
1986,425,2,1
1988,426,1,1
1989,426,2,1
1991,427,1,1
1992,427,2,1
1994,428,1,1
1995,428,2,1
1997,429,1,1
1998,429,2,1
2000,430,1,1
2001,430,2,1
2003,431,1,1
2004,431,2,1
2006,432,1,1
2007,432,2,1
2009,433,1,1
2010,433,2,1
2012,434,1,1
2013,434,2,1
2015,435,1,1
2016,435,2,1
2018,436,1,1
2019,436,2,1
2021,437,1,1
2022,437,2,1
2024,438,1,1
2025,438,2,1
2027,439,1,1
2028,439,2,1
2030,440,1,1
2031,440,2,1
2033,441,1,1
2034,441,2,1
2036,442,1,1
2037,442,2,1
2039,443,1,1
2040,443,2,1
2042,444,1,1
2043,444,2,1
2045,445,1,1
2046,445,2,1
2048,446,1,1
2049,446,2,1
2051,447,1,1
2052,447,2,1
2054,448,1,1
2055,448,2,1
2057,449,1,1
2058,449,2,1
2060,450,1,1
2061,450,2,1
2063,451,1,1
2064,451,2,1
2066,452,1,1
2067,452,2,1
2069,453,1,1
2070,453,2,1
2072,454,1,1
2073,454,2,1
2075,455,1,1
2076,455,2,1
2078,456,1,1
2079,456,2,1
2081,457,1,1
2082,457,2,1
2084,458,1,1
2085,458,2,1
2087,459,1,1
2088,459,2,1
2090,460,1,1
2091,460,2,1
2093,461,1,1
2094,461,2,1
2096,462,1,1
2097,462,2,1
2099,463,1,1
2100,463,2,1
2102,464,1,1
2103,464,2,1
2105,465,1,1
2106,465,2,1
2108,466,1,1
2109,466,2,1
2111,467,1,1
2112,467,2,1
2114,468,1,1
2115,468,2,1
2117,469,1,1
2118,469,2,1
2120,471,1,1
2121,471,2,1
2123,472,1,1
2124,472,2,1
2126,473,1,1
2127,473,2,1
2129,474,1,1
2130,474,2,1
2132,475,1,1
2133,475,2,1
2135,477,1,1
2136,477,2,1
2138,478,1,1
2139,478,2,1
2141,479,1,1
2142,479,2,1
2144,481,1,1
2145,481,2,1
2147,482,1,1
2148,482,2,1
2150,483,1,1
2151,483,2,1
2153,484,1,1
2154,484,2,1
2156,485,1,1
2157,485,2,1
2159,486,1,1
2160,486,2,1
2162,487,1,1
2163,487,2,1
2165,488,1,1
2166,488,2,1
2168,489,1,1
2169,489,2,1
2171,490,1,1
2172,490,2,1
2174,491,1,1
2175,491,2,1
2177,492,1,1
2178,492,2,1
2180,493,1,1
2181,493,2,1
2183,494,1,1
2184,494,2,1
2186,495,1,1
2187,495,2,1
2189,496,1,1
2190,496,2,1
2192,497,1,1
2193,497,2,1
2195,498,1,1
2196,498,2,1
2198,499,1,1
2199,499,2,1
2201,500,1,1
2202,500,2,1
2204,501,1,1
2205,501,2,1
2207,502,1,1
2208,502,2,1
2210,503,1,1
2211,503,2,1
2213,504,1,1
2214,504,2,1
2216,505,1,1
2217,505,2,1
2219,506,1,1
2220,506,2,1
2222,507,1,1
2223,507,2,1
2225,508,1,1
2226,508,2,1
2228,509,1,1
2229,509,2,1
2231,510,1,1
2232,510,2,1
2234,511,1,1
2235,511,2,1
2237,512,1,1
2238,512,2,1
2240,513,1,1
2241,513,2,1
2243,514,1,1
2244,514,2,1
2246,516,1,1
2247,516,2,1
2249,517,1,1
2250,517,2,1
2252,518,1,1
2253,518,2,1
2255,519,1,1
2256,519,2,1
2258,520,1,1
2259,520,2,1
2261,521,1,1
2262,521,2,1
2264,522,1,1
2265,522,2,1
2267,523,1,1
2268,523,2,1
2270,525,1,1
2271,525,2,1
2273,526,1,1
2274,526,2,1
2276,527,1,1
2277,527,2,1
2279,528,1,1
2280,528,2,1
2282,529,1,1
2283,529,2,1
2285,530,1,1
2286,530,2,1
2288,531,1,1
2289,531,2,1
2291,532,1,1
2292,532,2,1
2294,533,1,1
2295,533,2,1
2297,534,1,1
2298,534,2,1
2300,535,1,1
2301,535,2,1
2303,536,1,1
2304,536,2,1
2306,537,1,1
2307,537,2,1
2309,539,1,1
2310,539,2,1
2312,540,1,1
2313,540,2,1
2315,541,1,1
2316,541,2,1
2318,542,1,1
2319,542,2,1
2321,543,1,1
2322,543,2,1
2324,544,1,1
2325,544,2,1
2327,545,1,1
2328,545,2,1
2330,546,1,1
2331,546,2,1
2333,548,1,1
2334,548,2,1
2336,549,1,1
2337,549,2,1
2339,550,1,1
2340,550,2,1
2342,551,1,1
2343,551,2,1
2345,552,1,1
2346,552,2,1
2348,553,1,1
2349,553,2,1
2351,554,1,1
2352,554,2,1
2354,555,1,1
2355,555,2,1
2357,556,1,1
2358,556,2,1
2360,557,1,1
2361,557,2,1
2363,558,1,1
2364,558,2,1
2366,559,1,1
2367,559,2,1
2369,560,1,1
2370,560,2,1
2372,561,1,1
2373,561,2,1
2375,562,1,1
2376,562,2,1
2378,563,1,1
2379,563,2,1
2381,564,1,1
2382,564,2,1
2384,565,1,1
2385,565,2,1
2387,566,1,1
2388,566,2,1
2390,567,1,1
2391,567,2,1
2393,568,1,1
2394,568,2,1
2396,569,1,1
2397,569,2,1
2399,570,1,1
2400,570,2,1
2402,571,1,1
2403,571,2,1
2405,572,1,1
2406,572,2,1
2408,573,1,1
2409,573,2,1
2411,574,1,1
2412,574,2,1
2414,575,1,1
2415,575,2,1
2417,576,1,1
2418,576,2,1
2420,577,1,1
2421,577,2,1
2423,578,1,1
2424,578,2,1
2426,579,1,1
2427,579,2,1
2429,580,1,1
2430,580,2,1
2432,581,1,1
2433,581,2,1
2435,582,1,1
2436,582,2,1
2438,583,1,1
2439,583,2,1
2441,584,1,1
2442,584,2,1
2444,585,1,1
2445,585,2,1
2447,586,1,1
2448,586,2,1
2450,587,1,1
2451,587,2,1
2453,588,1,1
2454,588,2,1
2456,589,1,1
2457,589,2,1
2459,590,1,1
2460,590,2,1
2462,591,1,1
2463,591,2,1
2465,592,1,1
2466,592,2,1
2468,593,1,1
2469,593,2,1
2471,594,1,1
2472,594,2,1
2474,595,1,1
2475,595,2,1
2477,596,1,1
2478,596,2,1
2480,597,1,1
2481,597,2,1
2483,598,1,1
2484,598,2,1
2486,599,1,1
2487,599,2,1
2489,600,1,1
2490,600,2,1
2492,601,1,1
2493,601,2,1
2495,602,1,1
2496,602,2,1
2498,603,1,1
2499,603,2,1
2501,604,1,1
2502,604,2,1
2504,605,1,1
2505,605,2,1
2507,606,1,1
2508,606,2,1
2510,607,1,1
2511,607,2,1
2513,608,1,1
2514,608,2,1
2516,609,1,1
2517,609,2,1
2519,610,1,1
2520,610,2,1
2522,611,1,1
2523,611,2,1
2525,612,1,1
2526,612,2,1
2528,613,1,1
2529,613,2,1
2531,614,1,1
2532,614,2,1
2534,615,1,1
2535,615,2,1
2537,616,1,1
2538,616,2,1
2540,617,1,1
2541,617,2,1
2543,618,1,1
2544,618,2,1
2546,619,1,1
2547,619,2,1
2549,620,1,1
2550,620,2,1
2552,621,1,1
2553,621,2,1
2555,622,1,1
2556,622,2,1
2558,623,1,1
2559,623,2,1
2561,624,1,1
2562,624,2,1
2564,625,1,1
2565,625,2,1
2567,626,1,1
2568,626,2,1
2570,627,1,1
2571,627,2,1
2573,628,1,1
2574,628,2,1
2576,629,1,1
2577,629,2,1
2579,630,1,1
2580,630,2,1
2582,631,1,1
2583,631,2,1
2585,632,1,1
2586,632,2,1
2588,633,1,1
2589,633,2,1
2591,634,1,1
2592,634,2,1
2594,635,1,1
2595,635,2,1
2597,636,1,1
2598,636,2,1
2600,637,1,1
2601,637,2,1
2603,638,1,1
2604,638,2,1
2606,639,1,1
2607,639,2,1
2609,640,1,1
2610,640,2,1
2612,641,1,1
2613,641,2,1
2615,642,1,1
2616,642,2,1
2618,643,1,1
2619,643,2,1
2621,644,1,1
2622,644,2,1
2624,645,1,1
2625,645,2,1
2627,646,1,1
2628,646,2,1
2630,647,1,1
2631,647,2,1
2633,648,1,1
2634,648,2,1
2636,649,1,1
2637,649,2,1
2639,650,1,1
2640,650,2,1
2642,651,1,1
2643,651,2,1
2645,652,1,1
2646,652,2,1
2648,653,1,1
2649,653,2,1
2651,654,1,1
2652,654,2,1
2654,655,1,1
2655,655,2,1
2657,656,1,1
2658,656,2,1
2660,657,1,1
2661,657,2,1
2663,658,1,1
2664,658,2,1
2666,659,1,1
2667,659,2,1
2669,660,1,1
2670,660,2,1
2672,661,1,1
2673,661,2,1
2675,662,1,1
2676,662,2,1
2678,663,1,1
2679,663,2,1
2681,664,1,1
2682,664,2,1
2684,665,1,1
2685,665,2,1
2687,666,1,1
2688,666,2,1
2690,667,1,1
2691,667,2,1
2693,668,1,1
2694,668,2,1
2696,669,1,1
2697,669,2,1
2699,670,1,1
2700,670,2,1
2702,671,1,1
2703,671,2,1
2705,672,1,1
2706,672,2,1
2708,673,1,1
2709,673,2,1
2711,674,1,1
2712,674,2,1
2714,675,1,1
2715,675,2,1
2717,676,1,1
2718,676,2,1
2720,677,1,1
2721,677,2,1
2723,678,1,1
2724,678,2,1
2726,679,1,1
2727,679,2,1
2729,680,1,1
2730,680,2,1
2732,681,1,1
2733,681,2,1
2735,682,1,1
2736,682,2,1
2738,683,1,1
2739,683,2,1
2741,684,1,1
2742,684,2,1
2744,685,1,1
2745,685,2,1
2747,686,1,1
2748,686,2,1
2750,687,1,1
2751,687,2,1
2753,688,1,1
2754,688,2,1
2756,689,1,1
2757,689,2,1
2759,690,1,1
2760,690,2,1
2762,691,1,1
2763,691,2,1
2765,692,1,1
2766,692,2,1
2768,693,1,1
2769,693,2,1
2771,694,1,1
2772,694,2,1
2774,695,1,1
2775,695,2,1
2777,696,1,1
2778,696,2,1
2780,697,1,1
2781,697,2,1
2783,698,1,1
2784,698,2,1
2786,699,1,1
2787,699,2,1
2789,700,1,1
2790,700,2,1
2792,701,1,1
2793,701,2,1
2795,702,1,1
2796,702,2,1
2798,703,1,1
2799,703,2,1
2801,704,1,1
2802,704,2,1
2804,705,1,1
2805,705,2,1
2807,706,1,1
2808,706,2,1
2810,707,1,1
2811,707,2,1
2813,708,1,1
2814,708,2,1
2816,709,1,1
2817,709,2,1
2819,710,1,1
2820,710,2,1
2822,711,1,1
2823,711,2,1
2825,712,1,1
2826,712,2,1
2828,713,1,1
2829,713,2,1
2831,714,1,1
2832,714,2,1
2834,715,1,1
2835,715,2,1
2837,716,1,1
2838,716,2,1
2840,717,1,1
2841,717,2,1
