id,meta_id,tag_id
13,1,423
15,2,422
19,5,422
23,7,371
24,7,398
25,8,423
26,8,674
27,9,423
29,10,673
30,11,422
31,11,667
32,11,478
34,13,478
35,14,423
40,19,422
41,20,419
42,20,422
43,21,671
44,21,420
46,22,365
47,22,467
48,23,422
49,24,371
50,25,371
52,6,695
55,6,422
58,27,422
59,28,423
60,29,389
61,30,481
64,31,383
65,31,666
68,34,675
69,35,675
70,36,467
71,37,510
72,39,510
75,41,481
79,45,436
82,48,423
83,49,411
86,15,695
87,47,673
88,50,481
89,51,383
91,51,437
92,52,419
93,52,671
94,53,423
95,38,678
96,54,422
97,55,419
98,8,687
99,56,695
100,35,371
101,34,419
102,34,423
103,58,695
106,25,682
107,13,668
108,13,669
109,13,401
110,9,511
112,60,674
114,62,467
115,62,365
116,63,422
118,65,422
119,66,423
120,66,695
121,67,369
122,67,450
123,68,481
124,69,481
126,71,423
127,72,636
128,73,450
129,74,450
130,75,450
131,76,636
132,77,673
133,78,636
134,79,467
135,80,636
136,81,636
137,82,673
138,83,673
139,84,673
140,85,636
141,86,673
142,87,673
143,88,673
144,89,673
145,90,422
146,91,422
147,92,423
148,93,423
149,94,422
150,95,422
151,96,712
152,97,678
153,98,508
154,99,636
155,100,369
156,101,712
157,102,712
158,102,635
159,103,467
160,104,712
161,105,712
162,106,712
163,107,712
164,108,712
165,109,712
166,110,712
167,111,712
168,112,712
170,114,712
172,116,712
174,118,712
175,119,712
177,72,635
178,57,432
179,71,712
180,86,411
181,121,508
182,122,712
183,123,636
184,124,636
185,125,673
186,126,673
187,127,636
188,128,520
189,130,422
190,131,437
191,132,437
192,133,712
193,134,448
194,135,467
195,136,467
198,138,636
199,139,437
200,140,437
201,141,411
202,141,636
203,141,635
204,142,636
205,143,712
206,144,712
207,144,635
208,145,678
209,145,508
210,145,682
211,116,522
212,116,635
213,116,448
214,116,720
215,146,467
216,147,437
217,148,423
218,148,508
220,149,508
221,42,508
222,150,467
223,151,467
224,152,712
225,153,437
226,154,712
227,155,712
228,156,712
229,157,712
230,6,420
231,158,712
232,159,520
233,160,398
235,162,712
236,163,467
237,164,726
238,165,467
239,166,467
240,167,481
241,168,712
242,169,436
243,170,424
244,170,450
245,171,424
246,171,481
247,171,450
248,172,504
249,172,508
250,173,450
251,174,712
252,175,712
253,176,458
254,177,726
255,178,712
256,179,712
257,180,437
258,181,467
259,182,467
260,183,712
261,184,726
262,185,437
263,186,712
264,187,467
265,188,467
266,189,726
267,190,481
268,191,712
269,192,467
270,193,726
271,194,467
272,195,712
273,196,712
274,197,467
490,372,794
491,373,796
492,374,796
493,375,791
494,375,796
495,375,797
496,376,792
497,376,795
498,377,910
499,377,911
500,378,794
501,378,1001
502,378,996
503,379,794
504,379,784
505,380,796
506,381,823
507,382,796
508,382,895
509,382,894
510,383,894
511,383,891
512,383,893
513,383,1009
514,384,794
515,385,791
516,386,796
517,387,792
518,387,796
519,388,792
520,389,795
521,389,797
522,390,768
523,390,813
524,391,796
525,392,910
526,393,910
527,393,1007
528,394,796
529,395,794
530,396,756
531,397,828
532,398,828
533,399,750
534,399,950
535,400,750
536,400,947
537,401,1002
538,401,792
539,401,794
540,402,1002
541,402,910
542,403,813
543,404,954
544,405,825
545,406,954
546,407,828
547,408,913
548,409,794
549,409,913
550,410,810
551,411,823
552,412,794
553,413,776
554,414,791
555,415,794
556,416,791
557,417,807
558,418,1001
559,419,813
560,419,768
561,420,796
562,421,796
563,422,794
564,422,791
565,423,730
566,423,856
568,425,828
569,426,794
570,426,799
571,427,852
572,427,853
573,428,856
574,429,856
575,430,856
576,431,852
577,432,823
578,433,852
579,434,813
580,435,852
581,436,852
582,437,823
583,438,823
584,439,823
585,440,852
586,441,823
587,441,776
588,442,823
589,443,823
590,444,823
591,445,796
592,446,796
593,447,794
594,448,794
595,449,796
596,450,796
597,451,799
598,452,825
599,453,913
600,454,852
601,455,730
602,456,799
603,457,799
604,457,853
605,458,813
606,459,799
607,460,799
608,461,799
609,462,799
610,463,799
611,464,799
612,465,799
613,466,799
614,467,799
615,468,799
616,469,799
617,469,772
618,469,853
619,469,854
620,469,1011
622,471,799
623,472,913
624,473,799
625,474,852
626,475,852
628,477,823
629,478,852
630,479,995
631,481,796
632,482,947
633,483,947
634,484,799
635,485,854
636,486,813
637,487,813
638,488,852
639,489,947
640,490,947
641,491,776
642,491,852
643,491,853
644,492,852
645,493,799
646,494,799
647,494,853
648,495,825
649,495,913
650,495,1007
651,496,813
652,497,947
653,498,913
654,499,813
655,500,813
656,501,799
657,502,947
658,503,799
659,504,799
660,505,799
661,506,799
662,507,799
663,508,995
664,509,911
665,510,799
666,511,813
667,512,827
668,513,813
669,514,813
671,516,799
672,517,810
673,518,770
674,518,856
675,519,770
676,519,828
677,519,856
678,520,898
679,520,913
680,521,856
681,522,799
682,523,799
684,525,827
685,526,799
686,527,799
687,528,947
688,529,813
689,530,813
690,531,799
691,532,827
692,533,947
693,534,799
694,535,813
695,536,813
696,537,827
698,539,799
699,540,813
700,541,827
701,542,813
702,543,799
703,544,799
704,545,813
705,541,813
706,521,828
707,545,811
708,530,770
709,530,812
710,530,947
711,545,812
712,542,769
713,542,947
714,541,768
715,541,769
716,540,768
717,540,770
718,540,812
719,540,815
720,540,947
721,536,768
722,536,769
723,536,770
724,536,947
725,535,947
726,513,768
727,513,770
728,513,812
729,513,947
730,511,768
731,511,947
732,506,948
733,505,948
734,500,768
735,500,811
736,500,812
737,499,947
738,496,812
739,496,947
740,490,815
741,489,813
743,487,947
744,486,769
745,486,947
746,483,811
747,483,813
748,483,815
749,503,856
750,546,768
751,546,769
752,546,827
753,537,769
754,537,947
755,548,954
756,549,1102
757,550,1104
758,551,1104
759,552,1099
760,552,1104
761,552,1105
762,553,1100
763,553,1103
764,554,1214
765,554,1215
766,555,1102
767,555,1314
768,555,1309
769,556,1102
770,556,1094
771,557,1104
772,558,1126
773,559,1104
774,559,1199
775,559,1198
776,560,1198
777,560,1196
778,560,1200
779,560,1323
780,561,1102
781,562,1099
782,563,1104
783,564,1100
784,564,1104
785,565,1100
786,566,1103
787,566,1105
788,567,1075
789,567,1118
790,568,1104
791,569,1214
792,570,1215
793,571,1214
794,571,1321
795,572,1104
796,573,1102
797,574,1065
798,575,1131
799,576,1131
800,577,1059
801,577,1262
802,578,1059
803,578,1259
804,579,1315
805,579,1100
806,579,1102
807,580,1315
808,580,1214
809,581,1118
810,582,1161
811,583,1128
812,584,1161
813,585,1131
814,586,1217
815,587,1102
816,587,1217
817,588,1115
818,589,1126
819,590,1102
820,591,1085
821,592,1099
822,593,1102
823,594,1099
824,595,1160
825,596,1314
826,597,1118
827,597,1075
828,598,1104
829,599,1104
830,600,1102
831,600,1099
832,601,1038
833,601,1158
834,602,1131
835,603,1102
836,603,1125
837,604,1154
838,604,1155
839,605,1158
840,606,1158
841,607,1158
842,608,1154
843,609,1126
844,610,1154
845,611,1118
846,612,1154
847,613,1154
848,614,1126
849,615,1126
850,616,1126
851,617,1154
852,618,1126
853,618,1085
854,619,1126
855,620,1126
856,621,1126
857,622,1104
858,623,1104
859,624,1102
860,625,1102
861,626,1104
862,627,1104
863,628,1125
864,629,1128
865,630,1217
866,631,1154
867,632,1038
868,633,1125
869,634,1125
870,634,1155
871,635,1118
872,636,1125
873,637,1125
874,638,1125
875,639,1125
876,640,1125
877,641,1125
878,642,1125
879,643,1125
880,644,1125
881,645,1125
882,646,1125
883,646,1079
884,646,1155
885,646,1156
886,646,1326
887,647,1125
888,648,1217
889,649,1125
890,650,1154
891,651,1154
892,652,1126
893,653,1154
894,654,1308
895,655,1104
896,656,1259
897,657,1259
898,657,1116
899,657,1118
900,657,1120
901,658,1125
902,659,1156
903,660,1118
904,660,1076
905,660,1259
906,661,1118
907,661,1259
908,662,1154
909,663,1259
910,663,1118
911,664,1259
912,664,1120
913,665,1085
914,665,1154
915,665,1155
916,666,1154
917,667,1125
918,668,1125
919,668,1155
920,669,1128
921,669,1217
922,669,1321
923,670,1118
924,670,1117
925,670,1259
926,671,1259
927,672,1217
928,673,1118
929,673,1259
930,674,1118
931,674,1075
932,674,1116
933,674,1117
934,675,1125
935,676,1259
936,677,1125
937,677,1158
938,678,1125
939,679,1125
940,679,1260
941,680,1125
942,680,1260
943,681,1125
944,682,1308
945,683,1125
946,684,1118
947,684,1075
948,684,1259
949,685,1130
950,686,1118
951,686,1075
952,686,1077
953,686,1117
954,686,1259
955,687,1118
956,688,1125
957,689,1115
958,690,1077
959,690,1158
960,691,1077
961,691,1131
962,691,1158
963,692,1202
964,692,1217
965,693,1158
966,693,1131
967,694,1125
968,695,1125
969,696,1130
970,697,1125
971,698,1125
972,699,1259
973,700,1118
974,701,1118
975,701,1077
976,701,1117
977,701,1259
978,702,1125
979,703,1130
980,704,1259
981,705,1125
982,706,1118
983,706,1259
984,707,1118
985,707,1075
986,707,1076
987,707,1077
988,707,1259
989,708,1130
990,708,1076
991,708,1259
992,709,1125
993,710,1118
994,710,1075
995,710,1077
996,710,1117
997,710,1120
998,710,1259
999,711,1130
1000,711,1118
1001,711,1075
1002,711,1076
1003,712,1118
1004,712,1076
1005,712,1259
1006,713,1125
1007,714,1125
1008,715,1118
1009,715,1116
1010,715,1117
1011,716,1075
1012,716,1076
1013,716,1130
1014,717,1161
